#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PF
524,Elijah Buchanan,NJIT,22,31.3,13.2,5,13.3,0.379,1.1,4.3,0.255,2,3.2,0.643,1.5,4.3,5.8,1.8,1.5,0.5,1.6,2.6,
525,Alvaro Cardenas Torre,SJSU,31,35.5,13.2,5,10.9,0.457,1.5,3.8,0.385,1.8,2.2,0.809,0.5,2.7,3.3,5.5,0.9,0.1,2.1,2,
526,"Carlos Marshall, Jr.",SCU,31,24.2,13.2,4.7,9.8,0.482,2,4.6,0.424,1.8,2.3,0.775,1.2,3.2,4.4,1.7,0.8,0,1.9,1.8,
527,DeShayne Montgomery,MSMU,32,27.8,13.2,4.9,9.1,0.538,0.9,2.1,0.412,2.6,3.6,0.728,0.7,2.8,3.5,2,1.7,0.7,2.8,2.1,
528,Parker Bjorklund,STTOM,33,24.8,13.2,5,10.7,0.472,1.1,3.5,0.316,2.1,2.8,0.731,1.2,3.5,4.6,1.2,0.8,0.2,1.2,1.8,
529,Hassan Abdul-Hakim,UTRGV,19,29.1,13.2,4.6,9.3,0.494,0.8,2.4,0.356,3.2,5.1,0.635,1.5,3.6,5.2,3.5,1.4,0.8,2.7,1.9,
530,Cooper Schwieger,VAL,31,29.9,13.2,5.1,10.2,0.502,1.1,2.9,0.363,1.9,2.5,0.789,1.9,3.5,5.4,1,0.4,0.9,1.6,2.5,
531,Garry Clark,TAMU-CC,33,26.8,13.2,5.5,10.4,0.532,0.5,1.7,0.263,1.7,2.6,0.644,2.9,5.2,8.1,1,1.1,0.5,1.5,2.6,
532,Parsa Fallah,SUU,25,27.6,13.2,5.7,10,0.57,0.1,0.7,0.176,1.7,2.5,0.667,2.6,3.4,6,1.6,0.6,0.3,2.8,2.6,
533,Justin Winston,COPST,25,25.8,13.2,4.6,11.5,0.399,1.1,3.6,0.303,2.9,3.3,0.867,1.3,4,5.3,0.7,1.1,0.5,2.6,2.5,
534,Connor Kochera,DAV,32,29.3,13.2,4.8,9.8,0.492,1.6,4.3,0.362,2,2.5,0.778,0.7,3.6,4.3,0.9,1,0,1.1,0.9,
535,A.J. McGinnis,LIP,32,30,13.2,4.8,10.3,0.461,2.4,6.1,0.397,1.3,1.5,0.833,0.3,1.9,2.3,0.9,0.5,0.2,1.3,1.6,
536,Lynn Kidd,VT,33,23.2,13.2,5.4,8,0.668,0,0,0,2.4,2.9,0.842,1.5,5,6.5,1.1,0.5,0.4,1.3,2,
537,Donovan Ivory,SOMIS,24,31.7,13.1,4.1,9.9,0.414,1.9,4.6,0.409,3.1,3.5,0.892,1,3.4,4.4,1.8,1.4,0.4,1.5,1.7,
538,Kamdyn Curfman,MARSH,33,33.3,13.1,4.3,12.3,0.349,2.7,8.3,0.328,1.8,2.1,0.868,0.4,1.9,2.3,2.6,0.9,0,2.2,1.1,
539,William Kyle III,SDKSU,35,27.7,13.1,5.6,8.9,0.623,0,0,0,2,3.4,0.58,2.2,4.4,6.6,1.7,0.3,1.6,1.4,1.5,
540,Joe Bamisile,VCU,28,23.2,13.1,4.4,10.5,0.423,2.3,6.2,0.37,2,2.6,0.743,0.5,3,3.4,0.6,0.8,0.6,1.1,1.3,
541,Cobe Williams,TULSA,31,31.4,13.1,4.2,10.7,0.395,1.8,5.5,0.333,2.8,3.7,0.757,0.6,2.8,3.4,3.6,2.1,0.2,2.9,2.5,
542,Donovan Gregory,APPST,33,28.6,13.1,4.6,9.5,0.479,0.4,0.9,0.452,3.5,4.5,0.789,1,3.4,4.4,3.1,1.1,0.7,1.7,1.9,
543,Joel Scott,COLST,36,28.2,13.1,4.7,8.3,0.569,0.3,1.3,0.25,3.4,5,0.672,1.9,4.3,6.1,1.4,0.8,0.9,0.9,2.4,
544,Wooga Poplar,UMFL,29,31.1,13.1,4.6,10.8,0.426,2.1,5.6,0.385,1.8,2,0.864,0.7,4.1,4.8,2.1,0.8,0.3,1.9,2.1,
545,Jordan Jones,CCSU,31,29.5,13.1,4.6,10.5,0.44,1.2,3.4,0.34,2.7,3.6,0.748,0.8,2.8,3.5,3.6,1.8,0.2,2.2,1.5,
546,D.J. Burns,YSU,32,28.8,13.1,4.7,9,0.517,1,3,0.323,2.8,3.3,0.84,3.2,7.9,11,2.5,1,0.7,1.5,2.5,
547,Terry Anderson,LAMAR,33,28.3,13.1,4.4,8.9,0.495,0.9,2.9,0.302,3.3,4.5,0.743,2,4.5,6.5,2.7,1.2,0.7,2,2.5,
548,"Terrence Hargrove, Jr.",STLOU,33,30.2,13.1,4.4,8.4,0.518,1.4,3.5,0.409,2.9,3.7,0.793,1.1,4.4,5.5,0.7,0.6,0.6,1.4,1.6,
549,Alijah Martin,FAU,34,30.6,13.1,4.5,10.9,0.414,2.1,6.1,0.338,1.9,2.6,0.75,1.5,4.4,5.9,1.6,1.6,0.3,1.4,2.1,
550,Brandon Walker,MTSTU,35,19.5,13.1,5.3,9.5,0.563,0.4,1.2,0.31,2,3.5,0.579,0.6,3.4,4,1.1,0.5,0.2,1.8,2.1,
551,Jack Gohlke,OAKL,36,31.5,13.1,3.9,10.3,0.379,3.8,10.1,0.376,1.4,1.8,0.785,0.3,3.8,4.1,1.1,0.7,0.1,0.6,1.2,
552,Noah Thomasson,UGA,37,28.3,13.1,4.8,11.7,0.409,2.2,6.3,0.345,1.3,2.2,0.598,0.4,2.4,2.8,1.6,0.7,0.1,0.8,1,
