Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
Jaeden Zackery,G,36,33.8,11.3,4.3,8.8,48.4,0.9,2.2,40.5,1.9,2.4,82.4,3.3,4.2,1.8,0.1,2
Francis Nwaokorie,F,33,31.4,11.3,3.7,8.2,45.6,1.5,4.5,34,2.3,2.9,79.4,5.5,0.9,0.7,0.7,1.5
Johnathan Massie,G,34,25.4,11.3,3.6,9.6,37.4,1.1,3.1,34.6,3.1,4.4,68.9,5.2,1.8,1.2,0.4,1.6
Christian Cook,G,32,30,11.3,3.8,9.5,40.3,1.8,5.3,35.1,1.8,2.1,83.8,2.6,1.1,0.7,0.3,0.7
Joe Charles,F,33,33.6,11.3,4.2,9.5,44.2,1.6,4.7,34,1.3,1.7,78.6,9.6,1.1,1.8,1.1,1.3
Cam Christie,G,33,30.2,11.3,3.8,9.4,40.3,2.1,5.4,39.1,1.6,2,79.1,3.6,2.2,0.6,0.3,1.2
Mason Falslev,G,34,28,11.3,4.6,8.3,56.2,0.7,2.4,30.5,1.3,2,64.2,4.4,2.4,1.3,0.3,1.4
Kiree Huie,F,34,26.9,11.3,4.9,9.1,53.6,0,0.1,0,1.6,2.7,58.7,5.8,0.7,0.6,1.2,1.7
Myles Rigsby,F,31,25.9,11.3,3.2,7.2,44.1,0.7,1.8,41.1,4.2,5.1,82.4,4.3,1.5,1.6,0.4,1.5
Posh Alexander,G,32,31.9,11.3,4,9.3,43.2,0.9,2.8,33.3,2.3,3,78.1,4.6,4.9,2.2,0.1,2.8
Joey Reilly,G,32,28.4,11.3,4.2,8.1,51.6,1.7,4.2,40.6,1.3,1.6,80.4,1.3,2,1.3,0.1,1
Christian Tucker,G,32,33.5,11.3,3.2,7.8,41,1,3.2,30.4,3.9,4.5,87.5,2.9,5.4,1.1,0.3,2.1
