Date,Price,Open,High,Low,Vol.,Change %
10/16/1994,3891.29,3902.74,3949.84,3883.90,161.04M,-0.49%
10/9/1994,3910.47,3811.22,3927.63,3798.10,126.32M,2.98%
10/2/1994,3797.43,3850.59,3858.33,3747.97,146.43M,-1.19%
9/25/1994,3843.18,3833.09,3890.96,3826.36,129.35M,0.30%
9/18/1994,3831.74,3938.40,3953.30,3820.21,152.85M,-2.58%
9/11/1994,3933.35,3874.14,3953.88,3859.00,158.38M,1.51%
9/4/1994,3874.81,3885.24,3911.15,3858.33,101.58M,-0.28%
8/28/1994,3885.58,3892.38,3939.32,3880.40,141.56M,0.12%
8/21/1994,3881.04,3744.43,3893.67,3737.63,143.70M,3.35%
8/14/1994,3755.11,3774.21,3795.25,3740.54,148.24M,-0.36%
8/7/1994,3768.70,3758.02,3777.45,3736.33,118.18M,0.58%
7/31/1994,3747.01,3767.09,3811.44,3742.16,122.85M,-0.46%
7/24/1994,3764.50,3733.09,3770.00,3714.96,111.60M,0.79%
7/17/1994,3735.03,3751.55,3762.56,3714.64,114.36M,-0.50%
7/10/1994,3753.81,3718.53,3753.81,3672.23,121.08M,1.20%
7/3/1994,3709.13,3640.18,3709.46,3636.29,82.41M,1.71%
6/26/1994,3646.65,3622.05,3700.07,3610.40,118.75M,0.27%
6/19/1994,3636.94,3741.58,3776.14,3629.02,125.49M,-3.70%
6/12/1994,3776.77,3764.41,3823.39,3759.97,149.77M,0.09%
6/5/1994,3773.45,3782.37,3793.44,3730.98,90.85M,0.03%
5/29/1994,3772.21,3746.37,3775.60,3732.21,93.13M,0.40%
5/22/1994,3757.14,3743.63,3772.79,3721.23,122.63M,-0.24%
5/15/1994,3766.35,3653.08,3768.80,3647.55,114.89M,2.91%
5/8/1994,3659.68,3648.97,3669.79,3623.10,128.52M,-0.27%
5/1/1994,3669.50,3683.77,3715.60,3641.54,119.91M,-0.33%
4/24/1994,3681.69,3656.41,3710.84,3648.68,101.16M,0.90%
4/17/1994,3648.68,3661.17,3668.01,3570.15,166.59M,-0.35%
4/10/1994,3661.47,3681.69,3704.00,3631.13,126.32M,-0.35%
4/3/1994,3674.26,3552.18,3701.03,3552.18,172.63M,1.05%
3/27/1994,3635.96,3776.46,3779.05,3559.09,145.96M,-3.68%
3/20/1994,3774.73,3878.38,3895.94,3774.73,117.48M,-3.10%
3/13/1994,3895.65,3870.29,3895.65,3836.63,160.70M,0.85%
3/6/1994,3862.70,3851.72,3862.70,3814.86,121.67M,0.79%
2/27/1994,3832.30,3848.34,3852.28,3755.76,145.86M,-0.17%
2/20/1994,3838.78,3895.34,3914.48,3826.39,95.46M,-1.25%
2/13/1994,3887.46,3894.50,3958.10,3880.14,131.48M,-0.19%
2/6/1994,3894.78,3853.97,3938.40,3859.04,147.71M,0.60%
1/30/1994,3871.42,3958.10,3985.96,3870.01,136.16M,-1.88%
1/23/1994,3945.43,3904.35,3953.31,3887.18,149.14M,0.79%
1/16/1994,3914.48,3863.26,3914.48,3856.22,134.57M,1.22%
1/9/1994,3867.20,3824.42,3873.67,3813.45,144.43M,1.22%
1/2/1994,3820.77,3751.57,3826.39,3742.81,164.95M,1.78%
12/26/1993,3754.09,3768.90,3799.92,3754.09,84.01M,-0.10%
12/19/1993,3757.72,3752.13,3774.21,3736.76,90.48M,0.16%
12/12/1993,3751.57,3738.16,3770.02,3713.85,144.99M,0.29%
12/5/1993,3740.67,3707.98,3748.78,3702.11,114.70M,0.99%
11/28/1993,3704.07,3683.11,3711.61,3673.61,115.98M,0.55%
11/21/1993,3683.95,3673.33,3697.92,3650.69,79.58M,-0.27%
11/14/1993,3694.01,3684.23,3717.76,3657.12,156.63M,0.26%
11/7/1993,3684.51,3648.18,3691.21,3631.97,139.92M,1.13%
10/31/1993,3643.43,3673.33,3703.23,3600.67,141.75M,-1.01%
10/24/1993,3680.59,3646.22,3708.82,3644.82,139.29M,0.86%
10/17/1993,3649.30,3623.87,3676.96,3620.23,124.75M,0.54%
10/10/1993,3629.73,3586.98,3642.31,3583.63,139.98M,1.26%
10/3/1993,3584.74,3579.15,3605.98,3557.36,100.97M,0.10%
9/26/1993,3581.11,3555.68,3587.26,3542.83,107.24M,1.07%
9/19/1993,3543.11,3611.85,3621.35,3507.06,123.09M,-1.94%
9/12/1993,3613.25,3629.18,3639.24,3586.14,135.52M,-0.23%
9/5/1993,3621.63,3631.13,3636.44,3573.57,82.65M,-0.34%
8/29/1993,3633.93,3641.19,3655.72,3616.60,100.89M,-0.18%
8/22/1993,3640.63,3604.30,3663.83,3595.64,121.77M,0.70%
8/15/1993,3615.48,3564.90,3617.72,3564.34,152.29M,1.28%
8/8/1993,3569.65,3560.15,3595.08,3552.33,107.61M,0.26%
8/1/1993,3560.43,3542.55,3566.02,3536.96,107.49M,0.59%
7/25/1993,3539.47,3553.72,3583.90,3530.81,134.98M,-0.20%
7/18/1993,3546.74,3527.74,3556.52,3511.53,113.79M,0.52%
7/11/1993,3528.29,3522.17,3550.93,3509.85,113.09M,0.21%
7/4/1993,3521.06,3489.51,3527.98,3449.93,97.26M,1.06%
6/27/1993,3483.97,3500.58,3531.58,3480.93,106.34M,-0.20%
6/20/1993,3490.89,3511.93,3511.93,3462.66,108.43M,-0.11%
6/13/1993,3494.77,3513.31,3528.26,3475.94,114.77M,-0.29%
6/6/1993,3505.01,3548.46,3550.12,3483.97,98.15M,-1.13%
5/30/1993,3545.14,3534.07,3569.78,3527.43,75.30M,0.50%
5/23/1993,3527.43,3484.80,3565.07,3485.63,104.26M,0.99%
5/16/1993,3492.83,3443.56,3524.11,3415.33,128.14M,1.45%
5/9/1993,3443.01,3442.18,3483.14,3435.26,119.78M,0.17%
5/2/1993,3437.19,3435.65,3459.43,3415.66,120.47M,0.28%
4/25/1993,3427.55,3407.56,3446.19,3383.24,146.59M,0.40%
4/18/1993,3413.77,3473.75,3481.58,3403.50,146.81M,-1.86%
4/11/1993,3478.61,3405.66,3478.61,3395.67,138.95M,2.42%
4/4/1993,3396.48,3377.57,3408.10,3363.79,139.24M,0.76%
3/28/1993,3370.81,3451.86,3478.34,3365.41,145.37M,-2.01%
3/21/1993,3439.98,3451.32,3480.50,3430.25,140.99M,-0.91%
3/14/1993,3471.58,3436.19,3477.53,3422.96,113.45M,1.28%
3/7/1993,3427.82,3417.82,3482.12,3403.77,139.19M,0.68%
2/28/1993,3404.58,3380.81,3433.22,3343.26,121.50M,1.00%
2/21/1993,3370.81,3321.91,3378.11,3316.78,145.73M,1.46%
2/14/1993,3322.18,3372.98,3392.16,3266.80,134.45M,-2.07%
2/7/1993,3392.43,3433.22,3456.73,3392.43,131.88M,-1.44%
1/31/1993,3442.14,3315.16,3443.22,3309.48,165.45M,3.99%
1/24/1993,3310.03,3270.04,3320.02,3257.89,165.53M,1.63%
1/17/1993,3256.81,3269.50,3283.28,3231.95,143.20M,-0.44%
1/10/1993,3271.12,3251.13,3285.17,3240.06,158.53M,0.60%
1/3/1993,3251.67,3312.46,3320.83,3231.95,152.77M,-1.50%
12/27/1992,3301.11,3324.62,3352.71,3301.11,69.19M,-0.76%
12/20/1992,3326.24,3304.89,3332.72,3301.65,84.56M,0.39%
12/13/1992,3313.27,3296.79,3317.05,3248.16,154.00M,0.28%
12/6/1992,3304.08,3301.38,3335.69,3288.95,105.34M,0.47%
11/29/1992,3288.68,3294.90,3308.41,3268.96,120.25M,0.20%
11/22/1992,3282.20,3223.31,3296.25,3214.66,87.24M,1.70%
11/15/1992,3227.36,3226.28,3233.03,3184.67,115.47M,-0.18%
11/8/1992,3233.03,3237.08,3259.78,3219.25,106.17M,-0.22%
11/1/1992,3240.05,3224.12,3268.15,3215.20,120.41M,0.43%
10/25/1992,3226.28,3208.72,3254.91,3205.20,109.74M,0.58%
10/18/1992,3207.64,3166.30,3215.20,3169.00,126.97M,1.05%
10/11/1992,3174.41,3149.01,3217.09,3136.31,126.47M,1.21%
10/4/1992,3136.58,3176.57,3200.61,3095.79,118.91M,-2.00%
9/27/1992,3200.61,3243.30,3280.85,3198.72,101.28M,-1.53%
9/20/1992,3250.32,3324.62,3327.86,3233.84,109.12M,-2.31%
9/13/1992,3327.05,3349.20,3376.49,3306.79,122.93M,0.65%
9/6/1992,3305.70,3279.23,3317.32,3257.62,74.09M,0.72%
8/30/1992,3281.93,3273.29,3313.54,3254.10,83.62M,0.44%
8/23/1992,3267.61,3233.57,3273.02,3207.10,92.92M,0.42%
8/16/1992,3254.10,3321.37,3338.93,3254.10,77.50M,-2.25%
8/9/1992,3328.94,3321.91,3342.18,3306.79,84.35M,-0.10%
8/2/1992,3332.18,3385.40,3399.99,3331.37,95.80M,-1.82%
7/26/1992,3393.78,3284.90,3402.96,3282.20,100.73M,3.29%
7/19/1992,3285.71,3289.50,3331.10,3266.53,84.26M,-1.38%
7/12/1992,3331.64,3343.53,3364.33,3317.05,98.32M,0.03%
7/5/1992,3330.56,3304.07,3352.71,3273.56,110.10M,0.01%
6/28/1992,3330.29,3289.10,3373.89,3282.68,84.55M,1.46%
6/21/1992,3282.41,3278.40,3304.08,3254.05,108.94M,-0.09%
6/14/1992,3285.35,3339.65,3367.20,3269.03,116.91M,-2.06%
6/7/1992,3354.36,3396.36,3405.43,3323.78,99.34M,-1.30%
5/31/1992,3398.69,3388.58,3422.28,3372.25,114.44M,0.05%
5/24/1992,3396.88,3389.62,3420.21,3356.44,87.45M,0.30%
5/17/1992,3386.77,3369.20,3404.34,3353.09,107.02M,1.00%
5/10/1992,3353.09,3376.34,3400.67,3346.00,87.56M,-0.48%
5/3/1992,3369.41,3349.96,3387.52,3335.87,72.05M,1.00%
4/26/1992,3336.09,3309.48,3362.03,3283.99,104.08M,0.35%
4/19/1992,3324.46,3340.12,3365.61,3310.38,106.56M,-1.25%
4/12/1992,3366.50,3254.70,3366.50,3248.43,92.58M,3.41%
4/5/1992,3255.37,3261.40,3279.29,3161.23,98.67M,0.19%
3/29/1992,3249.11,3232.56,3260.73,3211.31,86.77M,0.55%
3/22/1992,3231.44,3266.55,3284.44,3226.52,91.93M,-1.37%
3/15/1992,3276.39,3236.14,3277.28,3208.41,96.82M,1.25%
3/8/1992,3235.91,3217.58,3248.21,3188.28,89.42M,0.44%
3/1/1992,3221.60,3270.80,3299.64,3213.77,96.22M,-1.41%
2/23/1992,3267.66,3277.50,3293.38,3240.38,96.70M,-0.38%
2/16/1992,3280.19,3241.06,3286.67,3215.34,97.58M,1.05%
